,date,open,close,high,low,volume,code
1380,2017-09-11,387.559,394.789,398.689,386.449,45374.0,600519
1381,2017-09-12,395.969,401.379,402.469,394.869,34341.0,600519
1382,2017-09-13,401.469,408.099,408.669,397.849,33075.0,600519
1383,2017-09-14,409.459,407.179,410.499,405.459,19399.0,600519
1384,2017-09-15,408.969,406.309,408.969,404.469,16039.0,600519
1385,2017-09-18,406.609,415.439,416.969,406.609,42206.0,600519
1386,2017-09-19,416.769,413.419,418.969,412.479,23054.0,600519
1387,2017-09-20,413.369,412.669,416.489,412.469,17318.0,600519
1388,2017-09-21,412.409,415.239,417.049,409.349,19402.0,600519
1389,2017-09-22,413.369,416.399,416.649,412.269,16343.0,600519
1390,2017-09-25,416.779,423.709,424.669,416.769,32697.0,600519
1391,2017-09-26,423.159,425.759,426.469,420.069,25470.0,600519
1392,2017-09-27,425.389,424.679,427.499,422.539,16671.0,600519
1393,2017-09-28,423.669,434.929,436.669,423.619,25969.0,600519
1394,2017-09-29,432.469,434.109,442.349,431.969,22436.0,600519
1395,2017-10-09,441.009,444.239,452.019,436.569,34891.0,600519
1396,2017-10-10,443.519,456.529,456.959,443.479,31006.0,600519
1397,2017-10-11,454.569,462.009,467.719,454.569,33406.0,600519
1398,2017-10-12,461.469,460.559,463.969,456.649,19646.0,600519
1399,2017-10-13,461.469,472.619,473.069,458.479,27858.0,600519
1400,2017-10-16,476.459,477.159,483.129,472.339,29909.0,600519
1401,2017-10-17,477.439,473.199,477.439,470.469,20977.0,600519
1402,2017-10-18,470.669,477.189,479.059,470.669,19178.0,600519
1403,2017-10-19,477.469,499.069,501.619,477.189,40658.0,600519
1404,2017-10-20,497.469,490.799,497.469,488.229,31534.0,600519
1405,2017-10-23,491.389,489.879,496.969,484.469,23771.0,600519
1406,2017-10-24,488.469,483.799,490.269,480.079,31274.0,600519
1407,2017-10-25,486.219,482.139,488.149,478.529,25076.0,600519
1408,2017-10-26,521.469,521.559,529.469,508.379,115434.0,600519
1409,2017-10-27,518.579,566.099,571.469,516.499,84383.0,600519
1410,2017-10-30,559.519,538.549,560.469,537.469,81007.0,600519
1411,2017-10-31,538.479,534.499,544.069,528.349,51875.0,600519
1412,2017-11-01,537.349,539.479,548.009,535.689,43435.0,600519
1413,2017-11-02,543.419,543.389,546.249,537.469,34249.0,600519
1414,2017-11-03,545.119,555.639,559.909,545.119,48188.0,600519
1415,2017-11-06,557.969,569.529,574.089,556.669,48513.0,600519
1416,2017-11-07,567.049,558.539,573.619,554.649,55564.0,600519
1417,2017-11-08,558.799,566.849,570.969,558.799,43951.0,600519
1418,2017-11-09,564.469,566.539,570.619,561.079,33641.0,600519
1419,2017-11-10,566.899,594.419,599.869,566.899,74078.0,600519
1420,2017-11-13,596.469,604.349,609.249,592.269,49869.0,600519
1421,2017-11-14,603.609,595.219,603.689,593.819,46366.0,600519
1422,2017-11-15,595.219,604.549,606.459,590.469,45036.0,600519
1423,2017-11-16,602.479,635.579,636.429,602.479,60716.0,600519
1424,2017-11-17,612.469,606.719,625.469,594.239,123861.0,600519
1425,2017-11-20,593.269,595.619,602.069,576.469,88305.0,600519
1426,2017-11-21,585.469,593.719,605.269,578.489,96016.0,600519
1427,2017-11-22,593.469,566.989,604.469,566.469,128498.0,600519
1428,2017-11-23,558.469,550.199,562.469,546.689,109599.0,600519
1429,2017-11-24,552.369,546.509,558.969,538.699,76541.0,600519
1430,2017-11-27,550.469,537.759,552.799,529.479,63548.0,600519
1431,2017-11-28,541.529,564.699,565.349,540.469,70291.0,600519
1432,2017-11-29,566.409,554.589,568.439,550.479,46763.0,600519
1433,2017-11-30,551.979,547.469,564.949,542.469,38019.0,600519
1434,2017-12-01,554.479,538.819,555.459,536.599,47192.0,600519
1435,2017-12-04,540.419,554.259,560.569,533.189,54267.0,600519
1436,2017-12-05,550.469,549.429,563.869,546.599,47465.0,600519
1437,2017-12-06,547.969,541.479,560.569,536.469,58174.0,600519
1438,2017-12-07,541.419,533.159,541.459,531.729,51032.0,600519
1439,2017-12-08,531.889,543.749,545.319,531.889,45503.0,600519
1440,2017-12-11,547.469,567.459,568.419,547.469,72849.0,600519
1441,2017-12-12,575.169,567.789,575.239,567.489,47889.0,600519
1442,2017-12-13,571.459,584.679,586.469,567.189,48502.0,600519
1443,2017-12-14,586.449,581.019,587.769,576.969,31967.0,600519
1444,2017-12-15,580.469,570.259,584.419,567.249,32255.0,600519
1445,2017-12-18,576.469,582.239,586.269,575.049,39162.0,600519
1446,2017-12-19,579.469,583.559,588.909,577.469,44072.0,600519
1447,2017-12-20,586.369,601.379,603.329,580.499,63601.0,600519
1448,2017-12-21,599.469,598.209,603.889,591.969,46680.0,600519
1449,2017-12-22,596.469,599.389,602.369,593.479,28317.0,600519
1450,2017-12-25,602.469,604.589,612.769,600.189,36214.0,600519
1451,2017-12-26,604.649,597.279,609.459,592.969,31867.0,600519
1452,2017-12-27,601.329,580.649,601.329,578.969,37722.0,600519
1453,2017-12-28,603.469,635.159,636.369,587.789,124141.0,600519
1454,2017-12-29,634.469,613.959,642.969,608.069,76038.0,600519
1455,2018-01-02,616.469,620.319,626.629,606.359,49612.0,600519
1456,2018-01-03,617.969,632.329,637.869,616.209,52019.0,600519
1457,2018-01-04,637.869,653.539,659.969,635.799,72205.0,600519
1458,2018-01-05,657.469,654.829,662.499,644.689,39989.0,600519
1459,2018-01-08,651.489,668.599,672.969,651.489,52204.0,600519
1460,2018-01-09,668.679,698.989,699.469,668.679,64591.0,600519
1461,2018-01-10,701.469,702.179,705.349,689.949,47714.0,600519
1462,2018-01-11,703.469,691.279,704.469,688.469,50656.0,600519
1463,2018-01-12,690.239,704.889,705.269,683.489,45988.0,600519
1464,2018-01-15,709.929,701.839,715.529,695.489,52473.0,600519
1465,2018-01-16,696.949,689.409,705.079,684.469,65428.0,600519
1466,2018-01-17,686.469,664.399,690.469,654.979,90709.0,600519
1467,2018-01-18,664.399,667.209,681.469,660.559,58978.0,600519
1468,2018-01-19,669.369,666.649,675.369,655.489,50925.0,600519
1469,2018-01-22,668.279,690.109,690.469,668.279,67126.0,600519
1470,2018-01-23,694.279,690.249,696.469,685.069,49549.0,600519
1471,2018-01-24,692.909,680.929,692.929,675.069,43298.0,600519
1472,2018-01-25,677.469,685.629,692.469,667.469,50040.0,600519
1473,2018-01-26,683.709,693.689,693.869,680.469,43978.0,600519
1474,2018-01-29,695.229,652.789,696.139,651.469,74535.0,600519
1475,2018-01-30,652.469,658.549,665.239,646.489,51911.0,600519
1476,2018-01-31,655.469,681.009,688.179,655.469,60402.0,600519
1477,2018-02-01,683.469,674.199,683.769,669.389,50582.0,600519
1478,2018-02-02,668.689,656.869,669.699,641.469,75420.0,600519
1479,2018-02-05,643.689,634.699,646.429,622.069,98995.0,600519
1480,2018-02-06,619.469,625.329,639.069,619.469,88168.0,600519
1481,2018-02-07,636.469,599.899,640.349,598.479,88289.0,600519
1482,2018-02-08,598.669,617.459,634.469,598.669,83409.0,600519
1483,2018-02-09,596.469,599.899,606.359,574.469,105578.0,600519
1484,2018-02-12,607.469,613.949,621.969,601.669,64179.0,600519
1485,2018-02-13,621.489,628.449,631.289,620.969,53389.0,600519
1486,2018-02-14,636.469,634.919,636.469,628.689,30652.0,600519
1487,2018-02-22,643.769,658.919,660.469,639.709,50764.0,600519
1488,2018-02-23,663.469,658.949,673.029,653.469,38158.0,600519
1489,2018-02-26,663.349,659.979,668.519,649.489,43658.0,600519
1490,2018-02-27,665.469,654.449,672.469,653.689,42601.0,600519
1491,2018-02-28,648.469,642.089,658.769,635.469,48330.0,600519
1492,2018-03-01,644.469,658.439,663.319,640.239,44794.0,600519
